t,E_left,E_right,E_exact_left,E_exact_right
0.00483411,18.7862,11.2263,0,0
0.00486722,18.7877,11.23,0,0
0.00490033,18.789,11.2334,0,0
0.00493344,18.7905,11.2367,0,0
0.00496656,18.7919,11.2398,0,0
0.00499967,18.7934,11.2428,0,0
0.00503278,18.7947,11.2456,0,0
0.00506589,18.7962,11.2483,0,0
0.005099,18.7976,11.2509,0,0
0.00513211,18.7994,11.2533,0,0
0.00516522,18.8019,11.2557,0,0
0.00519833,18.8078,11.258,0,0
0.00523144,18.8178,11.2603,0,0
0.00526455,18.8417,11.2624,0,0
0.00529766,18.8799,11.2645,0,0
0.00533077,18.9535,11.2665,0,0
0.00536388,19.0584,11.2685,0,0
0.00539699,19.2233,11.2704,0,0
0.0054301,19.4337,11.2723,0,0
0.00546321,19.7098,11.2741,0,0
0.00549632,20.0288,11.2759,0,0
0.00552943,20.3917,11.2777,0,0
0.00556254,20.7744,11.2794,0,0
0.00559565,21.1669,11.2812,0,0
0.00562876,21.5521,11.2828,0,0
0.00566187,21.9212,11.2845,0,0
0.00569498,22.2661,11.2861,0,0
0.00572809,22.5836,11.2878,0,0
0.0057612,22.8726,11.2894,0,0
0.00579431,23.1342,11.291,0,0
0.00582742,23.3697,11.2925,0,0
0.00586054,23.5817,11.2941,0,0
0.00589365,23.7729,11.2956,0,0
0.00592676,23.9461,11.2972,0,0
0.00595987,24.103,11.2987,0,0
0.00599298,24.2457,11.3002,0,0
0.00602609,24.3759,11.3018,0,0
0.0060592,24.4951,11.3033,0,0
0.00609231,24.6047,11.3048,0,0
0.00612542,24.7057,11.3062,0,0
0.00615853,24.7985,11.3077,0,0
0.00619164,24.884,11.3092,0,0
0.00622475,24.9627,11.3107,0,0
0.00625786,25.0352,11.3122,0,0
0.00629097,25.1018,11.3136,0,0
0.00632408,25.1631,11.3151,0,0
0.00635719,25.2192,11.3166,0,0
0.0063903,25.2707,11.318,0,0
0.00642341,25.3177,11.3195,0,0
0.00645652,25.3606,11.3209,0,0
0.00648963,25.3998,11.3224,0,0
0.00652274,25.4354,11.3238,0,0
0.00655585,25.4678,11.3253,0,0
0.00658896,25.4971,11.3267,0,0
0.00662207,25.5238,11.3282,0,0
0.00665518,25.548,11.3296,0,0
0.00668829,25.5699,11.3311,0,0
0.0067214,25.59,11.3325,0,0
0.00675452,25.6084,11.3339,0,0
0.00678763,25.6251,11.3354,0,0
0.00682074,25.6404,11.3368,0,0
0.00685385,25.6543,11.3382,0,0
0.00688696,25.6671,11.3397,0,0
0.00692007,25.6788,11.3411,0,0
0.00695318,25.6896,11.3425,0,0
0.00698629,25.6994,11.344,0,0
0.0070194,25.7085,11.3454,0,0
0.00705251,25.7168,11.3468,0,0
0.00708562,25.7245,11.3483,0,0
0.00711873,25.7316,11.3497,0,0
0.00715184,25.7381,11.3511,0,0
0.00718495,25.7441,11.3526,0,0
0.00721806,25.7497,11.354,0,0
0.00725117,25.7548,11.3554,0,0
0.00728428,25.7596,11.3568,0,0
0.00731739,25.764,11.3583,0,0
0.0073505,25.7682,11.3597,0,0
0.00738361,25.772,11.3611,0,0
0.00741672,25.7756,11.3626,0,0
0.00744983,25.7789,11.364,0,0
0.00748294,25.7821,11.3654,0,0
0.00751605,25.785,11.3668,0,0
0.00754916,25.7878,11.3683,0,0
0.00758227,25.7904,11.3697,0,0
0.00761538,25.7929,11.3711,0,0
0.00764849,25.7952,11.3726,0,0
0.00768161,25.7974,11.374,0,0
0.00771472,25.7995,11.3754,0,0
0.00774783,25.8015,11.3768,0,0
0.00778094,25.8034,11.3783,0,0
0.00781405,25.8052,11.3797,0,0
0.00784716,25.807,11.3811,0,0
0.00788027,25.8086,11.3825,0,0
0.00791338,25.8103,11.384,0,0
0.00794649,25.8118,11.3854,0,0
0.0079796,25.8133,11.3868,0,0
0.00801271,25.8148,11.3882,0,0
0.00804582,25.8162,11.3897,0,0
0.00807893,25.8176,11.3911,0,0
0.00811204,25.8189,11.3925,0,0
0.00814515,25.8202,11.394,0,0
0.00817826,25.8215,11.3954,0,0
0.00821137,25.8227,11.3968,0,0
0.00824448,25.824,11.3982,0,0
0.00827759,25.8252,11.3997,0,0
0.0083107,25.8263,11.4011,0,0
0.00834381,25.8275,11.4025,0,0
0.00837692,25.8287,11.4039,0,0
0.00841003,25.8298,11.4054,0,0
0.00844314,25.8309,11.4068,0,0
0.00847625,25.832,11.4082,0,0
0.00850936,25.8331,11.4096,0,0
0.00854247,25.8342,11.4111,0,0
0.00857559,25.8353,11.4125,0,0
0.0086087,25.8363,11.4139,0,0
0.00864181,25.8374,11.4153,0,0
0.00867492,25.8384,11.4168,0,0
0.00870803,25.8395,11.4182,0,0
0.00874114,25.8405,11.4196,0,0
0.00877425,25.8415,11.421,0,0
0.00880736,25.8425,11.4224,0,0
0.00884047,25.8436,11.4239,0,0
0.00887358,25.8446,11.4253,0,0
0.00890669,25.8456,11.4267,0,0
0.0089398,25.8466,11.4281,0,0
0.00897291,25.8476,11.4295,0,0
0.00900602,25.8486,11.4309,0,0
0.00903913,25.8496,11.4322,0,0
0.00907224,25.8506,11.4336,0,0
0.00910535,25.8516,11.435,0,0
0.00913846,25.8525,11.4363,0,0
0.00917157,25.8535,11.4377,0,0
0.00920468,25.8545,11.439,0,0
0.00923779,25.8555,11.4403,0,0
0.0092709,25.8565,11.4417,0,0
0.00930401,25.8574,11.443,0,0
0.00933712,25.8584,11.4443,0,0
0.00937023,25.8594,11.4456,0,0
0.00940334,25.8604,11.4469,0,0
0.00943645,25.8613,11.4482,0,0
0.00946957,25.8623,11.4495,0,0
0.00950268,25.8633,11.4507,0,0
0.00953579,25.8642,11.452,0,0
0.0095689,25.8652,11.4533,0,0
0.00960201,25.8662,11.4545,0,0
0.00963512,25.8671,11.4558,0,0
0.00966823,25.8681,11.457,0,0
0.00970134,25.8691,11.4583,0,0
0.00973445,25.87,11.4595,0,0
0.00976756,25.871,11.4608,0,0
0.00980067,25.8719,11.462,0,0
0.00983378,25.8729,11.4632,0,0
0.00986689,25.8739,11.4644,0,0
0.0099,25.8748,11.4657,0,0
0.00993311,25.8758,11.4669,0,0
0.00996622,25.8767,11.4681,0,0
0.00999933,25.8777,11.4693,0,0
