x,E_0,F_0,E+F,E-F
1.437,1.37199e-07,0,0.0137217,-0.000584628
1.443,1.37199e-07,0,0.0137217,-0.000584662
1.449,1.37199e-07,0,0.0137217,-0.000584688
1.455,1.37199e-07,0,0.0137217,-0.000584712
1.461,1.37199e-07,0,0.0137217,-0.000584734
1.467,1.37199e-07,0,0.0137217,-0.000584751
1.473,1.37199e-07,0,0.0137217,-0.000584764
1.479,1.37199e-07,0,0.0137217,-0.000584773
1.485,1.37199e-07,0,0.0137217,-0.000584781
1.491,1.37199e-07,0,0.0137217,-0.000584787
1.497,1.37199e-07,0,0.0137217,-0.000584793
1.503,1.37199e-07,0,0.0137217,-0.000584797
1.509,1.37199e-07,0,0.0137217,-0.000584801
1.515,1.37199e-07,0,0.0137217,-0.000584804
1.521,1.37199e-07,0,0.0137217,-0.000584806
1.527,1.37199e-07,0,0.0137217,-0.000584806
1.533,1.37199e-07,0,0.0137217,-0.000584808
1.539,1.37199e-07,0,0.0137217,-0.000584811
1.545,1.37199e-07,0,0.0137217,-0.000584813
1.551,1.37199e-07,0,0.0137217,-0.000584815
1.557,1.37199e-07,0,0.0137217,-0.000584816
1.563,1.37199e-07,0,0.0137217,-0.000584817
1.569,1.37199e-07,0,0.0137217,-0.000584818
1.575,1.37199e-07,0,0.0137217,-0.000584819
1.581,1.37199e-07,0,0.0137217,-0.000584819
1.587,1.37199e-07,0,0.0137217,-0.000584819
1.593,1.37199e-07,0,0.0137217,-0.000584819
1.599,1.37199e-07,0,0.0137217,-0.000584819
1.605,1.37199e-07,0,0.0137217,-0.000584819
1.611,1.37199e-07,0,0.0137217,-0.000584819
1.617,1.37199e-07,0,0.0137217,-0.000584819
1.623,1.37199e-07,0,0.0137217,-0.000584819
1.629,1.37199e-07,0,0.0137217,-0.000584819
1.635,1.37199e-07,0,0.0137217,-0.000584819
1.641,1.37199e-07,0,0.0137217,-0.000584819
1.647,1.37199e-07,0,0.0137217,-0.000584819
1.653,1.37199e-07,0,0.0137217,-0.000584819
1.659,1.37199e-07,0,0.0137217,-0.000584819
1.665,1.37199e-07,0,0.0137217,-0.000584819
1.671,1.37199e-07,0,0.0137217,-0.000584819
1.677,1.37199e-07,0,0.0137217,-0.000584819
1.683,1.37199e-07,0,0.0137217,-0.000584819
1.689,1.37199e-07,0,0.0137217,-0.000584819
1.695,1.37199e-07,0,0.0137217,-0.000584819
1.701,1.37199e-07,0,0.0137217,-0.000584819
1.707,1.37199e-07,0,0.0137217,-0.000584819
1.713,1.37199e-07,0,0.0137217,-0.000584819
1.719,1.37199e-07,0,0.0137217,-0.000584819
1.725,1.37199e-07,0,0.0137217,-0.000584819
1.731,1.37199e-07,0,0.0137217,-0.000584819
1.737,1.37199e-07,0,0.0137217,-0.000584819
